2.37291682393896e-07,2.00516802238899e-08,2.9178436667852357e-07,5.442230818380207e-07,5.370290037475088e-08,4.520476840309356e-09,3.7463481486659417e-07,5.7412818229975554e-08,1.7812601559070187e-07,2.963773680500763e-08,7.936165298753666e-08,1.1644535624426981e-08,7.065756188393212e-08
1.429443291486074e-07,1.6595625698639764e-08,5.3371518162550376e-09,1.879743900580376e-08,4.461888277372335e-09,4.838239765042025e-09,4.80580974572551e-08,3.8758505094157115e-09,2.6598781128514335e-08,1.4268452394622864e-08,3.0077504455419025e-09,1.005697157805141e-09,7.788454070608113e-09
6.762692876846902e-08,6.378481902357132e-09,2.9521213519757097e-09,3.924933281144275e-09,2.684629959369319e-08,1.2529216766060222e-08,2.989279056220414e-11,2.159891589412749e-09,2.0085417563342107e-09,7.10264721516921e-09,4.787193835149317e-09,4.284745195826025e-10,4.675774315186388e-09
4.892840438233665e-09,1.3852569922423808e-08,1.0675335255925004e-08,2.2455979868302947e-10,4.774555470635834e-10,6.592709600629823e-10,6.400574483038137e-10,2.2871262969597003e-09,8.354578014500127e-10,3.849462400822621e-09,1.4340753647218576e-09,9.004775928850288e-11,3.0074295909696495e-09
5.241790499743754e-10,9.76835114503511e-11,1.7183267312870903e-09,7.437039769917018e-09,4.824135041891361e-10,1.3297272069767317e-09,3.766822649012252e-09,6.680400070679814e-10,2.1800471000832595e-10,2.7023080852786317e-09,2.1719677063257082e-09,3.2847263482484535e-09,4.214632668336914e-09
4.080796349993949e-10,1.357445680966004e-09,4.249740895134691e-10,1.3020308333571862e-09,5.10946743500462e-10,1.1108622020606087e-10,7.050253650370957e-11,1.9358735315919137e-09,1.0246436766267136e-09,1.35454486012097e-09,1.7938723873511251e-09,1.218525100207523e-10,1.5468712160839423e-10
1.9510167185620164e-09,4.1495774073661017e-10,1.9609752552994597e-09,2.211975102686572e-10,1.4715032318400406e-09,1.5545326924532226e-10,1.0029659402322279e-09,6.341573695331655e-10,6.507556063959822e-10,2.0944680543446255e-10,3.1113000809073566e-10,1.1361087464150717e-09,6.004190258583456e-10
5.062981089072304e-10,8.734649189366691e-10,4.2705713145833297e-10,1.1731513467620822e-09,9.414172766936407e-10,1.4138562457557515e-09,9.466125299443955e-12,6.844446700333173e-11,1.35423836488099e-10,1.3066075409853101e-09,6.789428809146353e-10,2.5269864004031742e-11,3.373866069305405e-10
2.4810387805391814e-10,1.8092933788547215e-10,3.0085710774256686e-10,3.1996497167615233e-10,5.252876098823716e-10,1.6596411917153756e-10,4.189959859377592e-10,3.056499438655792e-10,4.4364550339812747e-10,1.0454954507167805e-10,7.534164922350242e-10,1.4027057376429373e-10,3.520071583808973e-10
1.0156178668233356e-10,2.0220345628883075e-10,1.9579025645508864e-10,6.209134760469632e-10,4.72120018763613e-11,3.9261166443516056e-11,1.383443650706453e-10,1.8581480113878103e-10,2.0304892620411513e-11,8.520926390919884e-10,7.173467097408193e-10,2.3186746481359348e-11,8.53898367018804e-10
1.6402198038100376e-10,8.13098669565272e-11,3.702659169812778e-10,4.178273819223573e-10,5.581233344221403e-10,1.2304115522766807e-10,1.1106865174487957e-11,1.854638542461685e-10,7.565008830429609e-11,4.5033464182211927e-10,6.869510484706501e-10,1.095349536012541e-10,2.3302648316742517e-10
7.483398406392109e-10,1.7543773474752238e-10,7.507445875332029e-10,1.9449717953739944e-11,1.4706017313640518e-09,1.7114440126770648e-10,1.7187380429747932e-10,4.653173224691223e-12,2.8608200618867635e-11,3.2626929841524725e-10,2.922208692266553e-10,2.378458511086224e-10,1.0662799709122431e-09
1.7900965563554993e-10,5.554935531193204e-10,9.356430811012849e-10,2.8065368383391342e-11,1.4371421921321423e-10,7.127345008674614e-11,1.1854684810147677e-10,1.9452844863665228e-10,7.998547214323236e-10,1.54131087535727e-11,8.386207129432865e-11,2.5295511638883576e-10,1.6039994096153418e-10
9.76340956769164e-13,8.835942037973326e-12,1.0743013272618211e-11,8.745684209204271e-11,2.657296317424625e-10,1.1391975824117894e-10,3.7706226991646755e-10,1.0070751534326633e-10,9.817967413553924e-11,1.0829486145173192e-10,2.503046752696958e-10,6.573258520815242e-11,2.0758996536443714e-11
