% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.116214	1	1	1	-86.8196	572.453	0
0.117214	1	1	1	-86.6679	679.36	0
0.118214	1	1	1	-85.6715	940.946	0
0.119214	1	1	1	-85.93	757.464	0
0.120214	1	1	1	-85.3297	778.513	0
0.121214	1	1	1	-84.6962	881.79	0
0.122214	1	1	1	-85.2435	810.881	0
0.123214	1	1	1	-84.1497	1170.4	0
0.124214	1	1	1	-84.0762	1103.35	0
0.125214	1	1	1	-84.1346	1231.03	0
0.126214	1	1	1	-84.4977	1042.81	0
0.127214	1	1	1	-84.2996	1100.44	0
0.128214	1	1	1	-85.244	871.459	0
0.129214	1	1	1	-84.6588	1119.64	0
0.130214	1	1	1	-84.5135	1036.29	0
0.131214	1	1	1	-84.0441	1194.32	0
0.132214	1	1	1	-83.8107	1262.08	0
0.133214	1	1	1	-84.157	1106.5	0
0.134214	1	1	1	-85.0254	810.912	0
0.135214	1	1	1	-85.8654	647.154	0
0.136214	1	1	1	-85.9528	630.334	0
0.137214	1	1	1	-85.3049	732.463	0
0.138214	1	1	1	-85.6989	641.816	0
0.139214	1	1	1	-85.4879	738.386	0
0.140214	1	1	1	-86.2617	650.187	0
0.141214	1	1	1	-86.4877	624.467	0
0.142214	1	1	1	-86.3	628.049	0
0.143214	1	1	1	-86.2013	595.289	0
0.144214	1	1	1	-85.7262	607.005	0
0.145214	1	1	1	-86.1086	555.848	0
0.146214	1	1	1	-86.0871	600.333	0
0.147214	1	1	1	-85.9378	679.173	0
0.148214	1	1	1	-85.5372	697.81	0
0.149214	1	1	1	-84.901	821.625	0
0.150214	1	1	1	-84.8392	801.299	0
0.151214	1	1	1	-84.6258	925.919	0
0.152214	1	1	1	-84.3406	1116.56	0
0.153214	1	1	1	-84.457	1001.17	0
0.154214	1	1	1	-84.4399	1041.98	0
0.155214	1	1	1	-84.742	921.149	0
0.156214	1	1	1	-85.4829	922.468	0
0.157214	1	1	1	-85.298	1097.79	0
0.158214	1	1	1	-84.5261	1196.34	0
0.159214	1	1	1	-84.5492	1061.23	0
0.160214	1	1	1	-83.9666	1252.52	0
0.161214	1	1	1	-83.5277	1155.94	0
0.162214	1	1	1	-84.2466	1103.56	0
0.163214	1	1	1	-85.0132	918.543	0
0.164214	1	1	1	-85.6644	859.408	0
0.165214	1	1	1	-85.2496	856.866	0
0.166214	1	1	1	-85.6672	787.738	0
0.167214	1	1	1	-85.1227	927.643	0
0.168214	1	1	1	-84.947	838.265	0
0.169214	1	1	1	-84.3374	1112.98	0
0.170214	1	1	1	-85.2775	1089.76	0
0.171214	1	1	1	-85.0119	1116.43	0
0.172214	1	1	1	-85.3219	966.943	0
0.173214	1	1	1	-85.7394	830.835	0
0.174214	1	1	1	-85.4437	873.166	0
0.175214	1	1	1	-85.5504	723.718	0
0.176214	1	1	1	-85.2937	926.564	0
0.177214	1	1	1	-84.5545	1142.2	0
0.178214	1	1	1	-84.986	933.225	0
0.179214	1	1	1	-84.7172	951.259	0
0.180214	1	1	1	-85.0916	930.514	0
0.181214	1	1	1	-84.658	1141.36	0
0.182214	1	1	1	-84.461	998.788	0
0.183214	1	1	1	-84.4902	1000.18	0
0.184214	1	1	1	-84.9744	731.006	0
0.185214	1	1	1	-84.6858	791.201	0
0.186214	1	1	1	-85.1904	630.635	0
0.187214	1	1	1	-85.1041	670.809	0
0.188214	1	1	1	-85.4614	575.131	0
0.189214	1	1	1	-85.0404	685.948	0
0.190214	1	1	1	-85.0695	733.731	0
0.191214	1	1	1	-84.7308	721.706	0
0.192214	1	1	1	-84.5685	673.656	0
0.193214	1	1	1	-84.861	666.272	0
0.194214	1	1	1	-85.0562	773.71	0
0.195214	1	1	1	-84.3261	944.186	0
0.196214	1	1	1	-84.0768	1079.35	0
0.197214	1	1	1	-84.5983	893.769	0
0.198214	1	1	1	-84.0886	943.258	0
0.199214	1	1	1	-83.7051	937.663	0
0.200214	1	1	1	-83.8969	1092.55	0
